Barroisit 3.13
Barrotit 3.93
Barstowit 4.5
Bartelkeit 3.17
Barylith 4.2
Barysilith 4.25
Barytoanglesit 5.42
Barytocalcit 4.95
Barytolamprophyllit 3.97
Barytrose 3.9
Bassanit 7.77
Bassetit 3.28
Bassoit 6.474
Batiferrit 4.12
Batisivit 2.91
Bauerit 3.76
Baumhauerit-2a 2.39
Baumstarkit 4.24
Bauranoit 2.14
Bavenit 4.77
Bayankhanit 5.51
Bayerit 2.328
Bayldonit 3.21
Bayleyit 8.11
Baylissit 2.32
Bazhenovit 7.36
Bazirit 2.334
Bazzit 2.6
Bearsit 6.4
Bearthit 3.05
Beaverit-(Cu) 3.5
Beaverit-(Zn) 4.96
Bechererit 2.93
Becquerelit 2.57
Beegerit 3.85
Behoit 3.33
Beidellit 6.2
Belakovskiit 3.28
Belendorffit 1.895
Bellbergit 3.04
Bellidoit 6.22
Bellingerit 3.708
Bellit 3.11
Belloit 3.32
Belmontit 2.55
Belovit-(Ce) 2.61
Belovit-(La) 3.42
Belovit-Gruppe 3.92
Belyankinit 2.98
Bementit 2.9
Benauit 2.43
Benavidesit 5.7
Bendadait 2.7
Benitoit 4.151
Benjaminit 3.66
Benleonardit 3.9
Benstonit 3.62
Beraunit 4.31
Berborit 3.3
Berborit-1T 8.09
Berborit-2T 5.739
Berdesinskiit 4.1
Berezanskit 3.48
Bergenit 4.89
Bergleder 3.18
Bergslagit 6.062
Berlinit 2.7
Bermanit 2.5
Bernalit 8.1
Bernardit 2.96
Bernstein 3.33
Berryit 6.41
Berthierin 2.48
Berthierit 5.6
Bertossait 4.95
Bertrandit 3.62
Beryll 3.065
Beryllit 2.81
Beryllonit 3.5
Berzelianit 2.83
Berzeliit 4.42
Beshtauit 3.03
Beta-Fergusonit-(Ce) 2.152
Beta-Nyerereit 2.92
Betafit-Gruppe 3.6
Betavit 2.56
Betechtinit 2.42
Betpakdalit 2.7
Betpakdalit-CaCa 5.34
Betpakdalit-Gruppe 3.959
Betpakdalit-NaCa 5.31
Betpakdalit-NaNa 5.68
Betpakdalit-Supergruppe 5.91
Beudantit 2.676
Beusit 4.1
Beyerit 3.397
Bideauxit 3.15
Bieberit 4.53
Biehlit 2.13
Bigcreekit 6.92
Bijvoetit-(Y) 2.825
Bikitait 2.917
Billietit 4.97
Billingsleyit 3.305
Billwiseit 4.02
Binghamit 6.72
Biotit 3.64
Biphosphammit 3.44
Birchit 2.7
Biringuccit 3.63
Birnessit 2.951
Bismit 4.89
Bismoclit 4.89
Bismuthinit 5.03
Bismutocolumbit 4.72
Bismutoferrit 5.016
Bismutohauchecornit 3.432
Bismutomikrolith 4.62
Bismutorom 5.44
Bismutostibiconit 5.31
Bismutotantalit 5.33
Bitikleit 5.35
Bitumen 2.7
Bixbyit 2.53
Bjarebyit 5.65
Blakeit 2.05
Blanfordit 2.01
Blasenkupfer 1.83
Blatonit 3.82
Blatterit 2.8
Blauquarz 3.28
Bleasdaleit 4.36
Blei 4.25
Bleiamalgam 3.45
Bleischweif 5.14
Blixit 3.48
Blossit 7.86
Bluelizardit 1.91
Bobdownsit 2.3
Bobierrit 13.2
Bobjonesit 4.16
Bobkingit 2.2
Bobmeyerit 7.03
Bobtraillit 4.89
Bodenbenderit 5.5
Boggsit 4.13
Bohdanowiczit 4.19
Bohseit 2.32
Bokit 3.18
Boldyrevit 3.65
Boleit 5.6
Bolivarit 3.15
Boltwoodit 3.6
Bonattit 7.76
Bonchevit 3.596
Bonshtedtit 2.025
Boothit 2.37
Boracit 2.9
Boralsilit 2.2
Borcarit 2.03
Borishanskiit 2.06
Bornemanit 4.536
Bornhardtit 2.66
Bornit 4.783
Boromullit 3.4
Boromuskovit 2.64
Borovskit 2.84
Bortnikovit 3.32
Boscardinit 4.5
Botallackit 4.51
Botryogen 4.57
Bottinoit 900
Bouazzerit 6.7
Boulangerit 3.37
Bournonit 4.64
Boussingaultit 3.1
Bowenit 2.59
Bowieit 2.76
Bowlingit 2.196
Boyleit 2.8
Br 6.83
Braccoit 7.23
Bracewellit 4.08
Bradleyit 5.34
Braithwaiteit 1.97
Brandtit 5.73
Brannerit 2.9
Brannockit 2.913
Brasilianit 2.98
Braunit 2.892
Bravoit 2.87
Brearleyit 4.48
Breithauptit 3.702
Brendelit 6.56
Brenkit 16.3
Brewsterit-Ba 2.51
Brewsterit-Serie 2.03
Brewsterit-Sr 2.75
Brezinait 6.274
Brianit 1.9
Brianroulstonit 5.23
Brianyoungit 2.66
Briartit 3.95
Brinrobertsit 2.28
Britholith-(Ce) 14.27
Britholith-(Y) 1.87
Britholith-Gruppe 5.827
Britvinit 5.9
Brizziit 6.33
Brokenhillit 2.7
Bromargyrit 2.04
Bromchlorargyrit 4.76
Bromellit 3.61
Brongniartit 2.32
Bronze 1.56
Bronzit 9.37
Brookit 7.717
Browneit 6.8
Brownmillerit 7.56
Brucit 6.92
Brugnatellit 4.97
Brunogeierit 7.38
Brushit 8.51
Buchwaldit 4.505
Buddingtonit 3.07
Bukovit 4.95
Bukovsk 3.9
Bulachit 3.1
Burangait 4.05
Burbankit 4.35
Burnettit 2.77
Burnsit 11.37
Burovait-Ca 11.96
Bursait 7.35
Burtit 2.23
Buryatit 4.051
Buserit 3.071
Bushmakinit 3.54
Bussenit 2.2
Bussyit-(Ce) 2.28
Bustamit 3.254
Butlerit 4.38
Bykovait 13.8
Byssolith 1.98
Bystr 3.03
Bystrit 7.87
Byzantievit 3.21
Ca-Hureaulith 2.31
Cabalzarit 3.35
Cabrerit 3.9
Cabriit 6.34
Cadmium 3.85
Cadmiumsmithsonit 8.19
Cadmoindit 6.96
Cadwaladerit 4.74
Cafarsit 6.57
Cafetit 2.049
Cahnit 3.1
Caichengyunit 2.52
Calaverit 2.38
Calcinaksit 3.22
Calcio-Olivin 4.24
Calcioandyrobertsit-1M 6.3
Calcioandyrobertsit-2O 3.28
Calcioankylit-(Ce) 4.13
Calcioankylit-(Nd) 5.81
Calciobetafit 3.422
Calcioburbankit 4.948
Calciocatapleiit 6.36
Calciocopiapit 4.98
Calciodelrioit 2.7
Calcioferrit 2.7
Calciohilairit 2.55
Calciolangbeinit 2.92
Calciomikrolith 5.1
Calciopetersit 7.68
Calciopyrochlor 5.92
Calciosamarskit 2.423
Calciotantit 3.95
Calcit 2.99
Calciumoxid 2.94
Calclacit 5.3
Calcurmolit 4.99
Calcybeborosilit-(Y) 5.28
Calder 4.43
Caledonit 7.7
Californit 2.64
Calkinsit-(Ce) 3.05
Callaghanit 5.03
Calumetit 3.503
Calvertit 3.36
Calzirtit 2.7
Calzirtit-1O 3.063
Camaronesit 4.76
Camerolait 2.13
Cameronit 5.78
Camgasit 2.11
Campigliait 6.85
Campostriniit 2.55
Canaphit 4.3
Canavesit 4.295
Cancrisilit 4.1
Canfieldit 4.64
Cannilloit 4.52
Cannonit 3.275
Canutit 2.5
Caoxit 3.11
Capgaronnit 6.93
Capillitit 2.881
Cappelenit-(Y) 2.08
Capranicait 6.89
Caracolit 5.88
Carboborit 2.991
Carbobystrit 5.19
Carboirit 3.94
Carbokentbrooksit 4.7
Carbonat-Fluorapatit 2
Carbonat-Hydroxylapatit 2.88
Carducciit 2.8
Caresit-3T 1.917
Carletonit 3.05
Carlfriesit 4.1
Carlgieseckeit-(Nd) 5.34
Carlhintzeit 2.72
Carlinit 7.75
Carlosbarbosait 4.54
Carlosruizit 6.57
Carlosturanit 2.3
Carlsbergit 3.34
Carmichaelit 2.51
Carnallit 6.9
Carnotit 2.185
Carrboydit 3.18
Carrollit 3.1
Caryochroit 4.11
Cascandit 5.325
Cassagnait 3.37
Cassedanneit 3.37
Cassidyit 5.12
Castaingit 6.14
Catapleiit 17.23
Cattiit 6.47
Cavansit 2.13
Cayalsit-(Y)-1M 7.24
Cebait-(Ce) 6.78
Cebollit 7.106
Celsian 6.73
Cerchiarait 6.31
Cerchiarait-(Al) 5.88
Cerchiarait-(Fe) 3.08
Cerfluorit 5.95
Cerianit-(Ce) 3.83
Ceriopyrochlor-(Ce) 5.25
Cerit-(Ce) 8.42
Cerit-(La) 6.22
Cernyit 4.42
Cerotungstit-(Ce) 4.88
Cerphosphorhuttonit 7.19
Cerussit 2.95
Cervandonit-(Ce) 3.9
Cervantit 2.224
Cesanit 2.74
Cesbronit 3.85
Cesplumtantit 5.88
Cesstibtantit 3.67
Chabasit-Ca 3.89
Chabasit-Mg 10.7
Chabasit-Na 8.64
Chabasit-Sr 4.86
Chabourn 5.663
Chaidamuit 1.66
Chalcedon 3.9
Chalkanthit 3.28
Chalkoalumit 3.16
Chalkocyanit 2.2
Chalkonatronit 9.04
Chalkophanit 2.878
Chalkosiderit 2.98
Chalkosin 4.011
Chalkostibit 3.9
Chalkothallit 4.17
Chalkotrichit 4.08
Challacolloit 4.649
Cham 4.2
Chambersit 4.2
Chamosit 3.45
Chamosit-Klinochlor-Serie 2.77
Chanabayait 2.23
Changchengit 2.53
Changoit 2.68
Chantalit 2.736
Chapmanit 3.33
Charmarit 5.8
Charmarit-3T 7.46
Charoit 4.62
Chatkalit 2.6
Chegemit 3.345
Chekhovichit 3.51
Chelkarit 1.55
Chengdeit 3.78
Chenguodait 4.08
Chenit 6.05
Chenxianit 5.7
Cheralith-(Ce) 3.27
Cheremnykhit 2.71
Chernikovit 5.24
Chernovit-(Y) 5.01
Chervetit 3.87
Chessexit 2.96
Chesterit 7.144
Chestermanit 2.4
Chevkinit-(Ce) 2.69
Chiastolith 3
Chibait 2.24
Childrenit 2.707
Childrenit-Eosphorit-Serie 1.8
Chiluit 2.4
Chiolith 2.4
Chistyakovait 6.28
Chladniit 6.7
Chloanthit 6.53
Chlorapatit 1.85
Chlorapatit-M 6.19
Chlorartinit 4.407
Chlorbartonit 2.41
Chlorellestadit 4.5
Chlorit 2.12
Chloritoid 2.366
Chloritoid-1A 3.53
Chloritoid-2M 3.95
Chlormagaluminit 3.14
Chlormanganokalit 3.12
Chloro-Kaliumhastingsit 3.21
Chlorocalcit 2.65
Chloromenit 2.57
Chloroph 3.62
Chlorophoenicit 2.45
Chlorothionit 5.699
Chloroxiphit 3.91
Choloalit 2.86
Chondrodit 8.55
Chovanit 3.41
Chrisstanleyit 2.63
Christelit 6.09
Christit 4.13
Christofsch 1.6
Chrom 4.95
Chrom-Allanit-(Ce) 1.979
Chrom-Dravite 2.5
Chrom-Grossular 4.5
Chrom-Lawsonit 2.99
Chrom-Pargasit 3.01
Chrom-Titanit 3.22
Chrom-Tremolit 6.37
Chromatit 3.1
Chrombismit 5.68
Chromdiopsid 3.23
Chromferid 1.74
Chromit 4.892
Chromit-Magnesiochromit-Serie 2.75
Chromo-Alumino-Povondrait 4.8
Chromowulfenit 1.65
Chromphyllit 2.2
Chromschieffelinit 3.51
Chrysoberyll 3.03
Chrysokoll 4.8
Chrysopras 4.8
Chrysothallit 2.96
Chrysotil 3.1
Chubutit 2.55
Chudobait 3.62
Chukanovit 3.69
Chukhrovit 3.71
Chukhrovit-(Ce) 7.216
Chukhrovit-(Nd) 4.13
Chukhrovit-(Y) 4.86
Churchit 4.74
Churchit-(Dy) 4.7
Churchit-(Nd) 6.27
Chursinit 6.577
Chvaleticeit 4.9
Chvilevait 6.4
Cianciulliit 8.53
Cinnabarit 2.786
Ciprianiit 2.934
Citrin 6.68
Clairit 4.45
Clarait 6.87
Clarkeit 4.21
Clausthalit 2.05
Clearcreekit 2.05
Cleavelandit 1.98
Cleiophan 2.05
Cliffordit 2.16
Clinometaborit 5.1
Clintonit 4.86
Cloncurryit 2.722
Co-Arsenopyrit 2.6
Coalingit 2.286
Cobalt-Gersdorffit 2.29
Cobaltadamin 3.65
Cobaltarthurit 3.312
Cobaltaustinit 2.27
Cobaltit 3.91
Cobaltkieserit 2.69
Cobaltlotharmeyerit 4.1
Cobaltneust 3.1
Cobaltobl 5.7
Cobaltomenit 4.75
Cobalttsumcorit 6.6
Coccinit 4.77
Cochromit 3.49
Coconinoit 6.17
Coeruleit 3.4
Coffinit 6.48
Cohenit 11.96
Coirait 2.5
Colemanit 2.85
Colimait 4.03
Colinowensit 1.77
Collinsit 2.47
Coloradoit 2.48
Colquiriit 2.54
Columbit-(Mg) 2.68
Columbit-(Mn) 2.892
Columbit-Tantalit 6.88
Colusit 2.28
Comancheit 4.59
Combeit 19.19
Comblainit 6.85
Compreignacit 5.98
Connellit 5.28
Coombsit 6.44
Cooperit 9.72
Coparsit 3.264
Copiapit 4.866
Coquandit 3.14
Coquimbit 6.3
Coralloit 1.68
Corderoit 2.21
Cordierit 3.12
Cordylit-(Ce) 3.634
Cordylit-(La) 4.88
Corkit-Hinsdalit-Serie 2.64
Cornubit 3.18
Coronadit 3.67
Coronadit-Gruppe 2.998
Correianevesit 3.62
Corrensit 2.41
Corvusit 2.662
Cosalit 3.01
Cossait 1.666
Costibit 3.2
Cotunnit 3.181
Coulsellit 5.5
Coulsonit 1.84
Cousinit 3.7
Coutinhoit 3.068
Cowlesit 3.5
Cr-Cerussit 3.5
Crandallit 2.03
Cranswickit 2.31
Crawfordit 3.52
Creaseyit 2.33
Crednerit 4.15
Creedit 3.55
Crerarit 3.55
Crichtonit 2.69
Criddleit 6.76
Cristobalit 6.4
Cronstedtit 3.1
Cronusit 3.34
Crookesit 7.14
Cryptophyllit 8.31
Csiklovait 2.98
Cu-Halloysit 6.2
Cualstibit 4.853
Cualstibit-1M 7.21
Cubanit 7.21
Cumengeit 3.4
Cuproartinit 3.142
Cuproaurid 9.85
Cuprobismutit 6.69
Cuprocopiapit 4.7
Cuproiridsit 3.194
Cupromakopavonit 2.88
Cupromolybdit 2.9
Cupropavonit 3.75
Cupropearceit 1.9
Cuprorivait 2.53
Cuprosklodowskit 2.94
Cuprospinell 3.6
Cuprostibit 2.35
Curetonit 2.37
Curienit 2.52
Curit 2.35
Cyanolit 3.265
Cyanotrichit 9.06
Cymrit 1.84
Cyprin 3.94
Cyrilovit 2.87
D'Ansit 8.176
D'Ansit-(Fe) 3.905
D'Ansit-(Mn) 3.9
Dachiardit-Ca 2.85
Dachiardit-Na 3.3
Dadsonit 7.92
Daliranit 2.66
Dalnegroit 5.28
Dalyit 3.3
Damarait 3.36
Danalith 3.85
Danburit 3.959
Danielsit 2.16
Dantopait 3.03
Daomanit 4.146
Daqingshanit-(Ce) 2.48
Darapiosit 2.66
Darapskit 2.98
Dashkovait 2.96
Datolith 6.25
Daubr 2.86
Davanit 5.55
Davidit 6.25
Davidit-(Ce) 2.84
Davidit-(La) 3.22
Davidlloydit 5.53
Davinciit 6.5
Davreuxit 6.33
Davyn 7.171
Dawsonit 5.65
Dayingit 3.41
Debattistiit 3.41
Decrespignyit-(Y) 3.48
Deerit 4.01
Defernit 4.5
Delafossit 2.96
Delessit 3.75
Deliensit 3.24
Dellait 3.34
Deloneit 2.15
Delrioit 9.4
Delvauxit 4.34
Demantoid 7.34
Demartinit 8.07
Demesmaekerit 3.08
Demicheleit-(Br) 2.63
Denningit 2.14
Depmeierit 2.16
Derriksit 5.68
Dervillit 5.93
Desautelsit 4.82
Descloizit 2.84
Descloizit-Mottramit-Serie 7.67
Despujolsit 10.95
Destinezit 3.43
Deveroit-(Ce) 8.28
Devillin 2.97
Devitoit 6.54
Deweylit 6.74
Dewindtit 7.03
Diaboleit 3.81
Diadochit 2.93
Diallag 2.202
Diaoyudaoit 1.74
Diaphorit 2.96
Diaspor 7.56
Dickinsonit-(BaMn) 3.81
Dickinsonit-(KMnNa) 2.76
Dickit 4.42
Dickthomssenit 4.92
Diegogattait 4.72
Dietrichit 2.82
Dietzeit 3.38
Digenit 3.34
Dimorphin 2.42
Dingdaohengit-(Ce) 2.4
Diomignit 8.06
Diopsid 5.64
Diopsid-Hedenbergit-Serie 3.64
Dioptas 3.84
Direnzoit 2.34
Dissakisit-(Ce) 5.41
Disulfodadsonit 2.6
Dittmarit 3.268
Diversilit-(Ce) 3.3
Dixenit 2.97
Djerfisherit 3.315
Djurleit 3.92
Dmisokolovit 4.78
Dmisteinbergit 3.1
Dollaseit-(Ce) 5.29
Dollaseit-Gruppe 5.28
Dolomit 6.31
Doloresit 5.93
Domerockit 6.41
Domeykit 2.76
Donbassit 5.05
Donharrisit 2.321
Donnayit-(Y) 4.5
Donpeacorit 4.72
Doppelspat 5.62
